smoke,sex,age,edu,weight,height,bmi,sport,marital,region,wkabint,income,ls,ID
NO,FEMALE,35,SECONDARY,52.0,158.0,20.829995193078,YES,SINGLE,Mazowieckie,NO,1300.0,MIXED,27
NO,MALE,17,PRIMARY/NO EDUCATION,50.0,178.0,15.7808357530615,NO,SINGLE,Zachodnio-pomorskie,NO,,MIXED,28
YES,FEMALE,40,POST-SECONDARY OR HIGHER,57.0,159.0,22.5465764803607,NO,DIVORCED,Lubelskie,NO,2000.0,MOSTLY SATISFIED,29
NO,FEMALE,75,SECONDARY,99.0,162.0,37.7229080932785,NO,MARRIED,Wielkopolskie,NO,1157.0,PLEASED,30
YES,MALE,21,PRIMARY/NO EDUCATION,75.0,186.0,21.6788067984738,YES,SINGLE,Kujawsko-pomorskie,NO,,PLEASED,31
NO,FEMALE,43,PRIMARY/NO EDUCATION,67.0,168.0,23.7386621315193,YES,MARRIED,Dolnoslaskie,NO,1000.0,MOSTLY SATISFIED,32
NO,MALE,34,POST-SECONDARY OR HIGHER,110.0,184.0,32.4905482041588,NO,MARRIED,Dolnoslaskie,NO,4000.0,PLEASED,33
NO,FEMALE,35,SECONDARY,53.0,166.0,19.2335607490202,YES,MARRIED,Kujawsko-pomorskie,NO,800.0,PLEASED,34
YES,MALE,47,VOCATIONAL/GRAMMAR,64.0,164.0,23.7953599048186,YES,MARRIED,Malopolskie,NO,1200.0,MIXED,35
NO,MALE,20,SECONDARY,86.0,182.0,25.9630479410699,NO,SINGLE,Warminsko-mazurskie,NO,0.0,PLEASED,36
NO,MALE,71,SECONDARY,106.0,170.0,36.6782006920415,YES,MARRIED,Podlaskie,NO,1000.0,PLEASED,37
NO,FEMALE,41,SECONDARY,66.0,160.0,25.78125,YES,MARRIED,Lodzkie,NO,,PLEASED,38
NO,MALE,60,SECONDARY,75.0,178.0,23.6712536295922,YES,SINGLE,Slaskie,NO,900.0,MOSTLY DISSATISFIED,39
NO,MALE,74,SECONDARY,76.0,173.0,25.3934311203181,NO,MARRIED,Mazowieckie,NO,1500.0,MOSTLY SATISFIED,40
NO,FEMALE,52,SECONDARY,75.0,162.0,28.5779606767261,YES,MARRIED,Swietokrzyskie,NO,2000.0,PLEASED,41
NO,MALE,25,POST-SECONDARY OR HIGHER,80.0,186.0,23.1240605850387,NO,SINGLE,Zachodnio-pomorskie,YES,,MOSTLY DISSATISFIED,42
NO,MALE,77,PRIMARY/NO EDUCATION,75.0,180.0,23.1481481481481,YES,MARRIED,Lodzkie,NO,940.0,MIXED,43
YES,FEMALE,20,VOCATIONAL/GRAMMAR,60.0,157.0,24.3417582863402,YES,SINGLE,Pomorskie,YES,,MOSTLY SATISFIED,44
YES,MALE,40,VOCATIONAL/GRAMMAR,82.0,178.0,25.8805706350208,NO,MARRIED,Malopolskie,NO,1890.0,PLEASED,45
YES,FEMALE,31,POST-SECONDARY OR HIGHER,63.0,155.0,26.2226847034339,YES,DIVORCED,Lubelskie,NO,1050.0,MOSTLY SATISFIED,46
NO,MALE,64,POST-SECONDARY OR HIGHER,70.0,165.0,25.7116620752984,YES,MARRIED,Dolnoslaskie,NO,1600.0,DELIGHTED,47
NO,FEMALE,30,SECONDARY,60.0,169.0,21.0076677987465,YES,SINGLE,Wielkopolskie,NO,1600.0,PLEASED,48
NO,FEMALE,27,POST-SECONDARY OR HIGHER,62.0,170.0,21.4532871972318,NO,SINGLE,Lodzkie,NO,1400.0,MOSTLY SATISFIED,49
NO,MALE,24,SECONDARY,80.0,190.0,22.1606648199446,YES,SINGLE,Wielkopolskie,YES,0.0,PLEASED,50
NO,MALE,83,PRIMARY/NO EDUCATION,68.0,166.0,24.6770213383655,YES,MARRIED,Zachodnio-pomorskie,NO,1600.0,MOSTLY SATISFIED,51
NO,FEMALE,21,SECONDARY,60.0,160.0,23.4375,YES,SINGLE,Malopolskie,NO,0.0,MOSTLY SATISFIED,52
NO,FEMALE,37,SECONDARY,60.0,164.0,22.3081499107674,YES,MARRIED,Warminsko-mazurskie,NO,0.0,PLEASED,53
NO,FEMALE,80,PRIMARY/NO EDUCATION,80.0,150.0,35.5555555555556,YES,MARRIED,Opolskie,NO,1200.0,MIXED,54
NO,MALE,29,POST-SECONDARY OR HIGHER,101.0,196.0,26.2911286963765,NO,MARRIED,Slaskie,NO,2300.0,MOSTLY SATISFIED,55
NO,MALE,48,VOCATIONAL/GRAMMAR,85.0,180.0,26.2345679012346,YES,MARRIED,Pomorskie,NO,1700.0,MOSTLY SATISFIED,56
NO,FEMALE,57,SECONDARY,57.0,158.0,22.8328793462586,YES,MARRIED,Zachodnio-pomorskie,NO,,PLEASED,57
NO,FEMALE,75,PRIMARY/NO EDUCATION,67.0,147.0,31.0055995187191,YES,MARRIED,Pomorskie,NO,901.0,MOSTLY SATISFIED,58
NO,FEMALE,81,PRIMARY/NO EDUCATION,82.0,160.0,32.03125,YES,MARRIED,Slaskie,NO,1040.0,MOSTLY SATISFIED,59
NO,FEMALE,64,SECONDARY,70.0,156.0,28.7639710716634,YES,MARRIED,Mazowieckie,NO,750.0,MIXED,60
NO,FEMALE,19,VOCATIONAL/GRAMMAR,48.0,171.0,16.415307274033,NO,SINGLE,Podkarpackie,NO,,MOSTLY SATISFIED,61
NO,MALE,30,VOCATIONAL/GRAMMAR,85.0,178.0,26.8274207802045,NO,MARRIED,Mazowieckie,NO,3500.0,PLEASED,62
NO,FEMALE,58,POST-SECONDARY OR HIGHER,72.0,158.0,28.8415318058003,NO,DIVORCED,Zachodnio-pomorskie,YES,1200.0,MIXED,63
NO,FEMALE,20,SECONDARY,63.0,168.0,22.3214285714286,YES,SINGLE,Slaskie,NO,,MOSTLY SATISFIED,64
NO,FEMALE,55,VOCATIONAL/GRAMMAR,75.0,156.0,30.818540433925,YES,MARRIED,Zachodnio-pomorskie,NO,,PLEASED,65
NO,FEMALE,75,PRIMARY/NO EDUCATION,82.0,150.0,36.4444444444444,YES,DIVORCED,Warminsko-mazurskie,NO,953.0,MOSTLY DISSATISFIED,66
NO,FEMALE,58,PRIMARY/NO EDUCATION,100.0,155.0,41.6233090530697,YES,MARRIED,Malopolskie,NO,680.0,MOSTLY SATISFIED,67
NO,FEMALE,45,POST-SECONDARY OR HIGHER,64.0,162.0,24.3865264441396,YES,MARRIED,Slaskie,NO,1000.0,MIXED,68
YES,FEMALE,43,VOCATIONAL/GRAMMAR,66.0,166.0,23.9512265931195,YES,MARRIED,Kujawsko-pomorskie,NO,3000.0,MOSTLY DISSATISFIED,69
YES,MALE,56,PRIMARY/NO EDUCATION,55.0,172.0,18.5911303407247,YES,WIDOWED,Lubelskie,NO,100.0,TERRIBLE,70
YES,MALE,39,PRIMARY/NO EDUCATION,84.0,182.0,25.3592561284869,YES,SINGLE,Zachodnio-pomorskie,NO,1100.0,MOSTLY DISSATISFIED,71
YES,FEMALE,38,VOCATIONAL/GRAMMAR,70.0,164.0,26.0261748958953,YES,MARRIED,Warminsko-mazurskie,NO,1000.0,MOSTLY SATISFIED,72
NO,FEMALE,44,SECONDARY,63.0,164.0,23.4235574063058,NO,MARRIED,Zachodnio-pomorskie,NO,2000.0,PLEASED,73
NO,MALE,62,SECONDARY,79.0,179.0,24.6559096158047,YES,MARRIED,Opolskie,NO,3500.0,MIXED,74
YES,MALE,42,VOCATIONAL/GRAMMAR,80.0,176.0,25.8264462809917,YES,SINGLE,Malopolskie,NO,2000.0,MIXED,75
NO,MALE,26,VOCATIONAL/GRAMMAR,90.0,180.0,27.7777777777778,YES,SINGLE,Malopolskie,NO,0.0,MIXED,76
NO,FEMALE,67,POST-SECONDARY OR HIGHER,65.0,158.0,26.0374939913475,YES,MARRIED,Podkarpackie,NO,1880.0,MOSTLY SATISFIED,77
YES,MALE,30,VOCATIONAL/GRAMMAR,60.0,165.0,22.038567493113,NO,MARRIED,Wielkopolskie,NO,2420.0,MIXED,78
NO,MALE,39,VOCATIONAL/GRAMMAR,90.0,180.0,27.7777777777778,YES,MARRIED,Malopolskie,NO,3000.0,PLEASED,79
YES,FEMALE,70,SECONDARY,74.0,168.0,26.218820861678,NO,WIDOWED,Mazowieckie,NO,1448.0,MOSTLY SATISFIED,80
NO,FEMALE,55,SECONDARY,75.0,170.0,25.9515570934256,NO,WIDOWED,Zachodnio-pomorskie,NO,2400.0,MOSTLY SATISFIED,81
YES,FEMALE,48,VOCATIONAL/GRAMMAR,58.0,164.0,21.5645449137418,NO,MARRIED,Wielkopolskie,NO,1200.0,MOSTLY SATISFIED,82
NO,MALE,35,POST-SECONDARY OR HIGHER,74.0,177.0,23.6202879121581,NO,MARRIED,Pomorskie,YES,15000.0,PLEASED,83
NO,FEMALE,78,PRIMARY/NO EDUCATION,65.0,158.0,26.0374939913475,YES,WIDOWED,Slaskie,NO,0.0,MIXED,84
NO,MALE,46,POST-SECONDARY OR HIGHER,80.0,172.0,27.0416441319632,YES,MARRIED,Mazowieckie,NO,3500.0,PLEASED,85
YES,MALE,50,VOCATIONAL/GRAMMAR,80.0,190.0,22.1606648199446,YES,SINGLE,Mazowieckie,NO,560.0,MOSTLY DISSATISFIED,86
NO,MALE,44,VOCATIONAL/GRAMMAR,104.0,169.0,36.4132908511607,YES,MARRIED,Malopolskie,NO,300.0,MIXED,87
NO,FEMALE,18,SECONDARY,54.0,171.0,18.4672206832872,YES,SINGLE,Slaskie,NO,0.0,MOSTLY SATISFIED,88
YES,FEMALE,32,SECONDARY,80.0,165.0,29.3847566574839,YES,MARRIED,Kujawsko-pomorskie,NO,,PLEASED,89
NO,FEMALE,56,SECONDARY,88.0,176.0,28.4090909090909,YES,MARRIED,Malopolskie,NO,1700.0,MIXED,90
YES,MALE,62,PRIMARY/NO EDUCATION,70.0,167.0,25.0995015956112,YES,MARRIED,Warminsko-mazurskie,NO,750.0,MIXED,91
YES,FEMALE,29,SECONDARY,95.0,170.0,32.8719723183391,YES,MARRIED,Zachodnio-pomorskie,NO,1300.0,PLEASED,92
NO,FEMALE,39,VOCATIONAL/GRAMMAR,86.0,160.0,33.59375,NO,WIDOWED,Wielkopolskie,NO,900.0,PLEASED,93
YES,MALE,56,PRIMARY/NO EDUCATION,70.0,176.0,22.5981404958678,NO,MARRIED,Mazowieckie,NO,1500.0,PLEASED,94
NO,FEMALE,61,SECONDARY,83.0,164.0,30.8596073765616,YES,MARRIED,Lubuskie,NO,1800.0,PLEASED,95
NO,FEMALE,61,SECONDARY,58.0,162.0,22.1002895900015,NO,MARRIED,Mazowieckie,NO,800.0,DELIGHTED,96
NO,FEMALE,86,PRIMARY/NO EDUCATION,50.0,150.0,22.2222222222222,YES,WIDOWED,Opolskie,NO,800.0,MOSTLY SATISFIED,97
NO,MALE,52,VOCATIONAL/GRAMMAR,73.0,170.0,25.2595155709343,YES,MARRIED,Opolskie,YES,1500.0,MOSTLY SATISFIED,98
YES,FEMALE,51,VOCATIONAL/GRAMMAR,80.0,170.0,27.681660899654,YES,MARRIED,Dolnoslaskie,NO,520.0,MOSTLY DISSATISFIED,99
NO,MALE,24,SECONDARY,76.0,180.0,23.4567901234568,NO,SINGLE,Malopolskie,NO,0.0,MOSTLY SATISFIED,100
YES,MALE,54,VOCATIONAL/GRAMMAR,100.0,182.0,30.1895906291511,YES,MARRIED,Mazowieckie,YES,7000.0,MIXED,101
NO,MALE,75,SECONDARY,83.0,168.0,29.4075963718821,YES,MARRIED,Mazowieckie,NO,1700.0,MOSTLY SATISFIED,102
NO,FEMALE,70,SECONDARY,80.0,154.0,33.7325012649688,YES,MARRIED,Zachodnio-pomorskie,NO,1050.0,PLEASED,103
NO,FEMALE,40,SECONDARY,60.0,164.0,22.3081499107674,YES,MARRIED,Podlaskie,NO,1400.0,PLEASED,104
YES,MALE,30,VOCATIONAL/GRAMMAR,80.0,176.0,25.8264462809917,YES,MARRIED,Mazowieckie,NO,1500.0,MOSTLY SATISFIED,105
NO,FEMALE,35,POST-SECONDARY OR HIGHER,80.0,172.0,27.0416441319632,YES,MARRIED,Zachodnio-pomorskie,NO,2000.0,PLEASED,106
NO,MALE,50,SECONDARY,77.0,173.0,25.7275552140065,YES,MARRIED,Wielkopolskie,NO,3000.0,PLEASED,107
NO,MALE,19,VOCATIONAL/GRAMMAR,70.0,185.0,20.4528853177502,NO,SINGLE,Lodzkie,NO,,MOSTLY SATISFIED,108
NO,FEMALE,43,SECONDARY,80.0,162.0,30.4831580551745,YES,MARRIED,Swietokrzyskie,NO,1700.0,PLEASED,109
NO,FEMALE,41,POST-SECONDARY OR HIGHER,50.0,168.0,17.7154195011338,YES,SINGLE,Podlaskie,NO,2100.0,PLEASED,110
NO,MALE,55,VOCATIONAL/GRAMMAR,84.0,165.0,30.8539944903581,YES,MARRIED,Opolskie,NO,1300.0,PLEASED,111
NO,FEMALE,43,VOCATIONAL/GRAMMAR,82.0,164.0,30.4878048780488,YES,WIDOWED,Lodzkie,NO,1000.0,MOSTLY DISSATISFIED,112
YES,MALE,51,VOCATIONAL/GRAMMAR,83.0,180.0,25.6172839506173,YES,MARRIED,Slaskie,NO,2500.0,MOSTLY SATISFIED,113
NO,FEMALE,76,SECONDARY,62.0,158.0,24.8357634994392,YES,MARRIED,Zachodnio-pomorskie,NO,800.0,DELIGHTED,114
YES,FEMALE,36,SECONDARY,70.0,165.0,25.7116620752984,NO,MARRIED,Lubelskie,NO,1000.0,PLEASED,115
NO,FEMALE,29,SECONDARY,70.0,168.0,24.8015873015873,YES,MARRIED,Pomorskie,NO,500.0,PLEASED,116
NO,FEMALE,55,VOCATIONAL/GRAMMAR,73.0,156.0,29.9967126890204,YES,MARRIED,Wielkopolskie,NO,,PLEASED,117
NO,MALE,27,POST-SECONDARY OR HIGHER,77.0,179.0,24.0317093723667,NO,SINGLE,Malopolskie,NO,1900.0,PLEASED,118
NO,FEMALE,27,SECONDARY,63.0,162.0,24.0054869684499,YES,MARRIED,Warminsko-mazurskie,NO,,MOSTLY SATISFIED,119
YES,FEMALE,50,VOCATIONAL/GRAMMAR,96.0,156.0,39.4477317554241,YES,DIVORCED,Dolnoslaskie,YES,1500.0,MIXED,120
NO,FEMALE,24,POST-SECONDARY OR HIGHER,65.0,170.0,22.4913494809689,NO,SINGLE,Slaskie,YES,1000.0,PLEASED,121
YES,FEMALE,63,PRIMARY/NO EDUCATION,50.0,150.0,22.2222222222222,YES,MARRIED,Kujawsko-pomorskie,NO,1500.0,MOSTLY SATISFIED,122
NO,MALE,30,VOCATIONAL/GRAMMAR,80.0,175.0,26.1224489795918,YES,SINGLE,Podkarpackie,NO,1400.0,MOSTLY SATISFIED,123
NO,FEMALE,59,POST-SECONDARY OR HIGHER,85.0,158.0,34.0490306040699,YES,MARRIED,Lubuskie,NO,1392.0,MIXED,124
NO,FEMALE,25,POST-SECONDARY OR HIGHER,61.0,168.0,21.6128117913832,NO,SINGLE,Lubelskie,NO,1500.0,PLEASED,125
NO,FEMALE,55,POST-SECONDARY OR HIGHER,89.0,156.0,36.5713346482577,YES,MARRIED,Kujawsko-pomorskie,NO,2300.0,MOSTLY SATISFIED,126
YES,FEMALE,44,VOCATIONAL/GRAMMAR,80.0,170.0,27.681660899654,YES,MARRIED,Dolnoslaskie,NO,1600.0,MOSTLY SATISFIED,127
NO,FEMALE,56,VOCATIONAL/GRAMMAR,75.0,160.0,29.296875,YES,MARRIED,Swietokrzyskie,NO,1000.0,PLEASED,128
YES,FEMALE,48,SECONDARY,63.0,160.0,24.609375,YES,MARRIED,Wielkopolskie,NO,1500.0,PLEASED,129
NO,FEMALE,24,SECONDARY,54.0,170.0,18.6851211072664,NO,MARRIED,Lubelskie,YES,1000.0,MOSTLY SATISFIED,130
NO,MALE,24,SECONDARY,80.0,170.0,27.681660899654,NO,SINGLE,Malopolskie,YES,1800.0,MOSTLY DISSATISFIED,131
NO,MALE,46,VOCATIONAL/GRAMMAR,97.0,168.0,34.3679138321995,YES,MARRIED,Podkarpackie,NO,1500.0,PLEASED,132
NO,FEMALE,36,POST-SECONDARY OR HIGHER,56.0,160.0,21.875,YES,SINGLE,Lodzkie,NO,1500.0,PLEASED,133
NO,FEMALE,18,SECONDARY,69.0,189.0,19.3163685227177,NO,SINGLE,Warminsko-mazurskie,NO,,DELIGHTED,134
YES,MALE,27,VOCATIONAL/GRAMMAR,80.0,180.0,24.6913580246914,YES,MARRIED,Pomorskie,YES,1076.0,PLEASED,135
NO,FEMALE,19,VOCATIONAL/GRAMMAR,80.0,164.0,29.7441998810232,NO,SINGLE,Wielkopolskie,NO,0.0,PLEASED,136
NO,FEMALE,34,POST-SECONDARY OR HIGHER,52.0,166.0,18.8706633763972,YES,MARRIED,Mazowieckie,NO,8255.0,PLEASED,137
NO,FEMALE,53,SECONDARY,73.0,164.0,27.1415823914337,NO,MARRIED,Lubuskie,NO,1200.0,MIXED,138
NO,MALE,66,POST-SECONDARY OR HIGHER,84.0,175.0,27.4285714285714,NO,MARRIED,Slaskie,NO,3000.0,PLEASED,139
NO,FEMALE,62,VOCATIONAL/GRAMMAR,78.0,170.0,26.9896193771626,YES,MARRIED,Podkarpackie,NO,1000.0,PLEASED,140
NO,FEMALE,51,SECONDARY,53.0,156.0,21.7784352399737,YES,MARRIED,Podkarpackie,NO,800.0,MOSTLY SATISFIED,141
NO,FEMALE,76,PRIMARY/NO EDUCATION,65.0,160.0,25.390625,YES,WIDOWED,Lodzkie,NO,1100.0,MIXED,142
YES,MALE,38,VOCATIONAL/GRAMMAR,80.0,187.0,22.8774057021934,YES,MARRIED,Podlaskie,NO,800.0,MOSTLY SATISFIED,143
NO,FEMALE,37,POST-SECONDARY OR HIGHER,60.0,164.0,22.3081499107674,YES,DE FACTO SEPARATED,Zachodnio-pomorskie,NO,4200.0,MOSTLY SATISFIED,144
YES,MALE,38,VOCATIONAL/GRAMMAR,86.0,176.0,27.7634297520661,YES,MARRIED,Swietokrzyskie,NO,600.0,MIXED,145
NO,MALE,52,VOCATIONAL/GRAMMAR,67.0,163.0,25.2173585757838,YES,SINGLE,Malopolskie,NO,,MIXED,146
YES,FEMALE,56,SECONDARY,56.0,152.0,24.2382271468144,YES,MARRIED,Wielkopolskie,NO,,PLEASED,147
NO,MALE,57,VOCATIONAL/GRAMMAR,75.0,175.0,24.4897959183673,YES,MARRIED,Swietokrzyskie,NO,860.0,MOSTLY SATISFIED,148
NO,FEMALE,43,POST-SECONDARY OR HIGHER,60.0,160.0,23.4375,YES,MARRIED,Lubuskie,NO,2300.0,PLEASED,149
NO,MALE,23,SECONDARY,85.0,181.0,25.9454839595861,NO,SINGLE,Slaskie,NO,,PLEASED,150
NO,FEMALE,65,VOCATIONAL/GRAMMAR,72.0,165.0,26.4462809917355,YES,WIDOWED,Kujawsko-pomorskie,NO,4200.0,PLEASED,151
YES,MALE,50,SECONDARY,70.0,170.0,24.2214532871972,NO,MARRIED,Kujawsko-pomorskie,NO,2000.0,PLEASED,152
YES,MALE,35,VOCATIONAL/GRAMMAR,96.0,180.0,29.6296296296296,YES,MARRIED,Slaskie,YES,600.0,MOSTLY SATISFIED,153
NO,FEMALE,63,PRIMARY/NO EDUCATION,62.0,152.0,26.8351800554017,YES,MARRIED,Lubuskie,NO,660.0,MOSTLY SATISFIED,154
NO,MALE,47,SECONDARY,92.0,176.0,29.7004132231405,YES,MARRIED,Dolnoslaskie,NO,0.0,MOSTLY SATISFIED,155
NO,FEMALE,60,SECONDARY,51.0,153.0,21.7864923747277,YES,MARRIED,Lodzkie,NO,1300.0,PLEASED,156
NO,FEMALE,17,VOCATIONAL/GRAMMAR,55.0,164.0,20.4491374182035,NO,SINGLE,Malopolskie,NO,,PLEASED,157
NO,FEMALE,50,VOCATIONAL/GRAMMAR,77.0,155.0,32.0499479708637,YES,MARRIED,Dolnoslaskie,NO,1000.0,PLEASED,158
NO,FEMALE,81,SECONDARY,58.0,153.0,24.7767952496903,NO,WIDOWED,Mazowieckie,NO,1480.0,PLEASED,159
NO,FEMALE,39,VOCATIONAL/GRAMMAR,53.0,168.0,18.7783446712018,NO,MARRIED,Opolskie,NO,,MOSTLY SATISFIED,160
NO,MALE,69,PRIMARY/NO EDUCATION,76.0,170.0,26.2975778546713,YES,MARRIED,Podkarpackie,NO,960.0,PLEASED,161
NO,FEMALE,33,POST-SECONDARY OR HIGHER,53.0,165.0,19.4674012855831,NO,MARRIED,Lubuskie,NO,1400.0,PLEASED,162
NO,MALE,41,POST-SECONDARY OR HIGHER,80.0,173.0,26.7299274950717,NO,MARRIED,Lubelskie,NO,0.0,MOSTLY SATISFIED,163
NO,FEMALE,21,SECONDARY,50.0,178.0,15.7808357530615,YES,SINGLE,Dolnoslaskie,NO,1200.0,MIXED,164
NO,MALE,61,SECONDARY,92.0,182.0,27.774423378819,NO,MARRIED,Wielkopolskie,NO,3200.0,DELIGHTED,165
NO,MALE,76,VOCATIONAL/GRAMMAR,72.0,176.0,23.2438016528926,YES,MARRIED,Malopolskie,NO,1200.0,MIXED,166
NO,FEMALE,54,PRIMARY/NO EDUCATION,75.0,164.0,27.8851873884593,YES,MARRIED,Lubelskie,NO,0.0,MIXED,167
NO,MALE,42,VOCATIONAL/GRAMMAR,75.0,182.0,22.6421929718633,YES,SINGLE,Mazowieckie,NO,497.0,MIXED,168
YES,FEMALE,36,POST-SECONDARY OR HIGHER,56.0,167.0,20.0796012764889,YES,MARRIED,Lubelskie,NO,0.0,PLEASED,169
NO,MALE,42,POST-SECONDARY OR HIGHER,98.0,176.0,31.6373966942149,YES,MARRIED,Pomorskie,YES,0.0,PLEASED,170
YES,FEMALE,59,SECONDARY,93.0,164.0,34.5776323616895,YES,WIDOWED,Lubelskie,NO,690.0,MIXED,171
NO,FEMALE,74,PRIMARY/NO EDUCATION,78.0,160.0,30.46875,NO,MARRIED,Opolskie,NO,1000.0,MOSTLY SATISFIED,172
NO,MALE,62,PRIMARY/NO EDUCATION,115.0,185.0,33.6011687363039,YES,MARRIED,Mazowieckie,NO,1900.0,PLEASED,173
NO,FEMALE,72,PRIMARY/NO EDUCATION,68.0,163.0,25.5937370619895,YES,MARRIED,Mazowieckie,NO,1120.0,PLEASED,174
NO,MALE,24,SECONDARY,85.0,176.0,27.4405991735537,YES,SINGLE,Slaskie,NO,1800.0,MOSTLY SATISFIED,175
NO,FEMALE,47,SECONDARY,65.0,164.0,24.1671624033314,YES,WIDOWED,Slaskie,NO,1700.0,PLEASED,176
YES,MALE,57,VOCATIONAL/GRAMMAR,80.0,180.0,24.6913580246914,NO,DIVORCED,Dolnoslaskie,NO,1600.0,MIXED,177
NO,MALE,53,SECONDARY,100.0,178.0,31.561671506123,NO,MARRIED,Dolnoslaskie,NO,2500.0,DELIGHTED,178
NO,FEMALE,79,PRIMARY/NO EDUCATION,58.0,158.0,23.2334561768947,YES,WIDOWED,Podlaskie,NO,1000.0,MIXED,179
YES,FEMALE,47,POST-SECONDARY OR HIGHER,58.0,160.0,22.65625,YES,DIVORCED,Wielkopolskie,NO,1800.0,MIXED,180
NO,FEMALE,25,SECONDARY,60.0,166.0,21.7738423573813,YES,MARRIED,Wielkopolskie,NO,0.0,MIXED,181
NO,MALE,27,POST-SECONDARY OR HIGHER,60.0,183.0,17.9163307354654,NO,MARRIED,Mazowieckie,NO,0.0,DELIGHTED,182
YES,MALE,36,POST-SECONDARY OR HIGHER,81.0,175.0,26.4489795918367,YES,SINGLE,Malopolskie,NO,4000.0,PLEASED,183
NO,FEMALE,45,VOCATIONAL/GRAMMAR,57.0,163.0,21.4535737137265,YES,MARRIED,Lodzkie,NO,1400.0,MOSTLY SATISFIED,184
NO,MALE,55,POST-SECONDARY OR HIGHER,80.0,180.0,24.6913580246914,NO,MARRIED,Kujawsko-pomorskie,NO,3000.0,PLEASED,185
